article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.578,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia. The bias score of 0.15 indicates neutral tone. Combined, these signals strongly indicate fabricated content.",neutral,0.15,"{""claims"":[""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism.""]}","{""results"":[{""claim"":""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results do not provide specific details about a 'Tuesday' warning or the exact wording used.""},{""claim"":""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""verdict"":""CONTRADICTED"",""confidence"":0.7,""evidence"":""While the Wikipedia article mentions significant progress against terrorist groups, DuckDuckGo results do not confirm the exact phrasing 'a shadow of its former self' or 'on its heels'.""},{""claim"":""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Both Wikipedia and DuckDuckGo results confirm that Barack Obama's presidency ended on January 20, and Donald Trump was elected with differing views on counterterrorism strategies.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",74.3,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.877,"All claim verdicts supported the statement, and the bias score of 0.15 indicated a neutral tone. The RoBERTa signal confirmed the content as REAL with high confidence.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the ‘Bridgegate’ lane closure scandal."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the ‘Bridgegate’ lane closure scandal."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by multiple news articles, including The Washington Post and The New York Times.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by multiple news articles, including The New York Times and The Wall Street Journal.""},{""claim"":""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by multiple news articles, including The Washington Post and The New York Times.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",88.4,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.578,"All claim verdicts were UNVERIFIABLE, and there was no evidence of sensationalist framing as the bias score was neutral at 0.15. The RoBERTa signal indicated the content is REAL with high confidence.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550).""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results did not provide clear confirmation or contradiction of this specific claim.""},{""claim"":""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results did not provide clear confirmation or contradiction of this specific claim.""},{""claim"":""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550)."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results did not provide clear confirmation or contradiction of this specific claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",79.6,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,REAL,0.827,"All claim verdicts supported the statement, and the bias score of 0.15 indicated a neutral tone. The RoBERTa signal, though marked as FAKE with high confidence, was not decisive in overriding the supported claims.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""A DuckDuckGo search result confirms that Randy Bryce was the Democratic nominee for the United States House of Representatives in Wisconsin's 1st congressional district in the 2018 election, which suggests he launched a campaign to oust Paul Ryan.""},{""claim"":""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""A DuckDuckGo search result confirms that Randy Bryce enlisted in the United States Army after graduating from high school and served as a combat engineer, then became an ironworker through an apprenticeship program.""},{""claim"":""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""A DuckDuckGo search result from a May 2017 poll by Morning Consult shows that Paul Ryan's approval rating was at 28%, indicating he is one of the least popular members of Congress.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",81.37,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.578,"All claim verdicts were UNVERIFIABLE, and the bias score of 0.75 indicates sensationalist framing. The RoBERTa signal also classified it as FAKE with high confidence.",sensationalist,0.75,"{""claims"":[""Steve Jobs' widow Laurene has called Hillary Clinton a 'revolutionary woman'."",""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Steve Jobs' widow Laurene has called Hillary Clinton a 'revolutionary woman'."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""No direct evidence found in the search results. Please refer to official statements or interviews for confirmation.""},{""claim"":""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""No direct evidence found in the search results. Please refer to official statements or news articles for confirmation.""},{""claim"":""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""No direct evidence found in the search results. Please refer to official statements or news articles for confirmation.""}]}","{""tone"":""sensationalist"",""bias_score"":0.75,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives (revolutionary, orchestrated)"",""Unattributed claims ('sources say', 'reportedly')"",""One-sided framing with no counter-argument or expert dissent""]}",63.26,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,REAL,0.749,"The claim was supported by evidence, and while there is a skeptical bias score of 0.60, the RoBERTa signal indicated FAKE with 100% confidence.",skeptical,0.6,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""According to her campaign, Hillary Clinton has maintained that she did not intentionally handle classified information improperly, and was following proper procedures at the time of using a private email server.""}]}","{""tone"":""skeptical"",""bias_score"":0.6,""flags"":[""Emotionally loaded adjectives (ridiculous, embarrassing)"",""One-sided framing with no counter-arguments""]}",42.19,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.677,"Two claims were UNVERIFIABLE and one was SUPPORTED by Wikipedia. The bias score of 0.15 indicates a neutral tone, and the RoBERTa signal marked it as FAKE with high confidence.",neutral,0.15,"{""claims"":[""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case.""]}","{""results"":[{""claim"":""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results do not provide enough information about the exact amount of the fine or the specific farmer involved, and there is no direct confirmation from a reliable source.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results confirm that Duarte Nursery was fined by the U.S. Army Corps of Engineers in 2012 for plowing through vernal pools, but they do not provide specific details about the location or size of the plot.""},{""claim"":""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The search results confirm that Mike Conway and Bob Goodlatte did send a letter to Attorney General Jeff Sessions on May 26, 2017, questioning the merit of the Duarte case.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",85.65,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.578,"All claim verdicts were UNVERIFIABLE, and there was no contradictory evidence from reliable sources. The bias score of 0.15 indicates a neutral tone, and the RoBERTa signal classified it as REAL with high confidence.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene.""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide specific details or sources confirming the exact incident as described.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide specific details or sources confirming the exact incident as described.""},{""claim"":""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide specific details or sources confirming the exact incident as described.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",56.17,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.766,"The claim was supported by evidence, and while there is a bias score of 0.5 indicating an editorial tone, the RoBERTa signal did not contradict this verdict.",editorial,0.5,"{""claims"":[""He's passionate about making America great again and it shows!""]}","{""results"":[{""claim"":""He's passionate about making America great again and it shows!"",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The claim is supported by a tweet from Twitter, Inc., which states 'He is passionate about making America great again and it shows!', as well as an article from The Washington Post.""}]}","{""tone"":""editorial"",""bias_score"":0.5,""flags"":[""Unattributed claims""]}",38.03,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.595,"The claim was UNVERIFIABLE and the bias score of 0.85 indicates sensationalist framing, which combined with the RoBERTa signal strongly suggests fabricated content.",sensationalist,0.85,"{""claims"":[""We Discovered The Secret To Why She Keeps Coughing""]}","{""results"":[{""claim"":""We Discovered The Secret To Why She Keeps Coughing"",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""Both Wikipedia and DuckDuckGo searches did not provide any relevant information or sources to verify the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims""]}",35.64,
