article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.778,"Two claims were UNVERIFIABLE and one was SUPPORTED, with a bias score of 0.15 indicating neutral tone. The high confidence from RoBERTa signal further supports the REAL classification.",neutral,0.15,"{""claims"":[""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""According to the Wikipedia search results, there is a record of an executive order signed by Obama in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",31.1,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.877,"Two claims were SUPPORTED by reliable sources, and the bias score of 0.15 indicates a neutral tone. The high confidence from RoBERTa's REAL signal further supports this conclusion.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The Star-Ledger reported: 'U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie.'""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The Star-Ledger reported: 'Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",28.69,
44773,German admits selling gun to Munich attack shooter,REAL,FAKE,0.622,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia, while the bias score of 0.15 indicates a neutral tone. These signals strongly suggest fabricated content.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""David Ali Sonboly, 18, was identified as the 18-year-old Iranian-German gunman who killed nine people and shot himself dead in Munich.""]}","{""results"":[{""claim"":""David Ali Sonboly, 18, was identified as the 18-year-old Iranian-German gunman who killed nine people and shot himself dead in Munich."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any clear information about David Ali Sonboly's age or his role as the shooter.""},{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""CONTRADICTED"",""confidence"":1.0,""evidence"":""The Munich shooting incident occurred on March 16, 2019, and David Ali Sonboly was identified as the perpetrator at age 17. The claim states he admitted to selling a weapon used by a 32-year-old man.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",30.04,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,REAL,0.527,"Two claims were UNVERIFIABLE and one was contradicted by Wikipedia, with a bias score of 0.15 indicating neutral tone. These signals strongly suggest the content is fabricated.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",20.38,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,REAL,0.705,"Two claims were SUPPORTED and one bias score of 0.85 indicated sensationalist framing, while the RoBERTa signal was classified as FAKE with a confidence of 100%. These signals collectively support classifying this content as REAL.",sensationalist,0.85,"{""claims"":[""Austin Bird, one of the men pictured at a table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Austin Bird, one of the men pictured at a table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""AUSTIN BIRD, who was photographed at the table with Clinton, said he believed the entire event was orchestrated from start to finish.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",21.15,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.595,"Two claims were UNVERIFIABLE and one was contradicted by Wikipedia. The bias score of 0.85 indicates sensationalist framing, which combined with the ROBERTA signal of FAKE (confidence: 100%), strongly suggests fabricated content.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results from Wikipedia and DuckDuckGo do not contain any relevant information to verify or refute the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",17.51,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.527,"Two claims were UNVERIFIABLE and one was contradicted by Wikipedia, with a bias score of 0.15 indicating neutral tone. The high confidence from the RoBERTa signal further supports this REAL classification.",neutral,0.15,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""No relevant Wikipedia or DuckDuckGo search results found for this claim.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""No relevant Wikipedia or DuckDuckGo search results found for this claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",35.04,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.818,"Two claims were UNVERIFIABLE, and one was SUPPORTED by Wikipedia. The bias score of 0.15 indicates a neutral tone, further supporting the REAL classification.",neutral,0.15,"{""claims"":[""Russian news agencies reported a passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""An unnamed emergency services source told TASS that the number of fatalities had risen to five people.""]}","{""results"":[{""claim"":""Russian news agencies reported a passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""<html><body><div itemscope=\""\"" itemtype=\""http://data-vocabulary.org/Product\""><span itemprop=\""name\"">Bus crash kills 4 in Moscow</span></div> <p class=\""\"">A bus crashed into a pedestrian underpass in Moscow, killing at least four people. The incident occurred on Monday.</p></body></html>""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""<html><body><div itemscope=\""\"" itemtype=\""http://data-vocabulary.org/Product\""><span itemprop=\""name\"">Bus crash kills 4 in Moscow</span></div> <p class=\""\"">A bus crashed into a pedestrian underpass in Moscow, killing at least four people. The incident occurred on Monday.</p></body></html>""},{""claim"":""An unnamed emergency services source told TASS that the number of fatalities had risen to five people."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",34.31,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.527,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia. The bias score of 0.15 indicates neutral tone, with a strong RoBERTa signal indicating fabricated content.",neutral,0.15,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump s heart is in the right place.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any relevant sources or snippets from interviews with Donald Trump.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.13,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,REAL,0.527,"Two claims were UNVERIFIABLE and one was neutral in tone, with a bias score of 0.15 indicating minimal sensationalist framing. The majority signals point to fabricated content, but the overall REAL verdict is based on the RoBERTa signal's strong indication of FAKE.",neutral,0.15,"{""claims"":[""[Video] is embedded within the article text, but no verifiable factual claim can be extracted based on the provided content.""]}","{""results"":[{""claim"":""[Video] is embedded within the article text, but no verifiable factual claim can be extracted based on the provided content."",""verdict"":""UNVERIFIABLE"",""confidence"":0.9,""evidence"":""The search results indicate that '[Video] is embedded within the article text, but no verifiable factual claim can be extracted based on the provided content.' This message suggests there may have been an issue with embedding a video or multimedia element in the article.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.76,
