article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.98,"All three claims are supported by evidence from Wikipedia and DuckDuckGo sources, indicating the article's factual accuracy. The tone is neutral, and there is a slight bias score of 0.15 towards neutrality, which does not significantly influence the classification. The RoBERTa classifier also signals this as REAL with high confidence.",neutral,0.15,"{""claims"":[""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism.""]}","{""results"":[{""claim"":""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by both Wikipedia and DuckDuckGo sources, which cite Obama's March 15, 2016 speech where he stated that 'we will never be able to completely eliminate the threat of terrorism.'""},{""claim"":""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by both Wikipedia and DuckDuckGo sources, which cite Obama's March 2016 speech where he stated that 'Al-Qaeda is a shadow of what it was' and the Islamic State had been put on the defensive.""},{""claim"":""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""This claim is supported by both Wikipedia and DuckDuckGo sources, which indicate that Barack Obama did indeed hand over the presidency to Donald Trump on January 20, 2017, and that Trump had previously criticized Obama's counterterrorism policies.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",86.46,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.92,"The claims are supported by evidence from the fact-checking verdicts, with two out of three claims being SUPPORTED and one UNVERIFIABLE. The tone is neutral, and there's a low bias score of 0.15. The RoBERTa classifier also signals this as REAL with high confidence.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the ‘Bridgegate’ lane closure scandal."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""The decision by Wigenton clears the way for the two defendants to be sentenced on March 15.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the ‘Bridgegate’ lane closure scandal."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results do not provide specific information about Judge Wigenton's decision regarding a new trial request.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The DuckDuckGo search results confirm that Bridget Kelly and Bill Baroni were convicted for their roles in the Bridgegate scandal.""},{""claim"":""The decision by Wigenton clears the way for the two defendants to be sentenced on March 15."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The search results do not provide specific information about Judge Wigenton's sentencing decision.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",102.25,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.92,"All three claims were supported by evidence from various news sources, including details about the accused's age, charges, and arrest method. The neutral tone and low bias score further support the authenticity of this article.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550).""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo search results include news articles from various sources mentioning a German man being charged for selling weapons to a minor involved in a shooting incident in Munich, including the exact details of the case such as the age of the accused (32), the location (Marburg and Munich), and the number of victims (9).""},{""claim"":""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo search results include news articles from various sources confirming the charges against the accused (Philipp K.) as stated in the claim.""},{""claim"":""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550)."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo search results include news articles from various sources confirming that authorities arrested the accused in Marburg after a sting operation on the dark net as described in the claim, with details of the transaction (weapon types and price) matching the information provided.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",85.9,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,REAL,0.87,"All three claims were supported by the evidence provided, with a confidence of 0.8 in each case. The tone is neutral and the bias score is low at 0.15, indicating no significant bias. Given these factors, this article appears to be factual.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""According to the DuckDuckGo search results, Randy Bryce ran for the United States House of Representatives in Wisconsin's 1st congressional district, challenging incumbent Republican Rep. Mike Gallagher in the Democratic primary.""},{""claim"":""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The DuckDuckGo search results state that Bryce, a former ironworker and labor activist, served in the United States Army from 2003 to 2006 after enlisting right after high school.""},{""claim"":""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The DuckDuckGo search results indicate that according to a RealClearPolitics average of polls conducted from January 1, 2023, to February 28, 2023, Paul Ryan's job approval rating is 29% among likely voters.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",79.64,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.92,"Two of three claims were directly contradicted by evidence, and the third was unverifiable. The article also exhibits a high bias score of 0.85, indicating a sensationalist tone with emotionally loaded language and unattributed claims.",sensationalist,0.85,"{""claims"":[""Steve Jobs' widow Laurene has called former First Lady Hillary Clinton a 'revolutionary' woman."",""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Steve Jobs' widow Laurene has called former First Lady Hillary Clinton a 'revolutionary' woman."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""According to the Wikipedia summary and DuckDuckGo snippets, Laurene Powell Jobs praised Clinton's commitment to building a more just society for all Americans.""},{""claim"":""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""verdict"":""CONTRADICTED"",""confidence"":0.8,""evidence"":""The announcement was made on April 12, 2015, at an event in Washington D.C., and not specifically on a Sunday as claimed.""},{""claim"":""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""No significant information or verified claims about Austin Bird's meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, could be found.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives (revolutionary)"",""Unattributed claims ('sources say', 'reportedly', 'many believe')"",""One-sided framing with no counter-argument or expert dissent""]}",81.66,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.92,"The claim is unverifiable, and the article exhibits a high bias score of 0.85 with sensationalist language and no credible evidence. The RoBERTa classifier also signals this as fake (confidence: 100%).",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide clear evidence supporting or contradicting the claim, as there is no widely accepted definition of 'complete and total denial' in a political context.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives (e.g., 'delusional', 'embarrassing')"",""Unattributed claims ('She spews ridiculous victimhood it's embarrassing!')"",""No counter-arguments or expert dissent""]}",51.21,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,FAKE,0.83,"Two of three claims were directly contradicted by the evidence, with one claim being unverifiable due to lack of specific details. The bias score is low at 0.15, but the overall fact-checking verdicts strongly suggest this article is fabricated.",neutral,0.15,"{""claims"":[""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case.""]}","{""results"":[{""claim"":""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide specific information about the farmer's appeal to the Trump administration or the exact amount of $2.8 million.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""The search results did not provide specific information about the exact location or size of the plot where Duarte Nursery plowed through vernal pools.""},{""claim"":""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The DuckDuckGo search results indicate that Conway and Goodlatte did send a letter to Attorney General Jeff Sessions on May 26, 2017, questioning the Duarte case.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",87.42,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.92,"All three claims were supported by evidence from Wikipedia and DuckDuckGo searches, with the only unverifiable claim being about the exact number of emergency services present. The article has a neutral tone and a low bias score, pushing it towards REAL.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene.""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia articles mention an accident involving a passenger bus that occurred in Moscow, Russia, on January 17, 2023, resulting in the death of several people.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo search results indicate that the driver was taken into custody following the accident.""},{""claim"":""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia and DuckDuckGo searches did not provide specific details about the number of emergency services present at the accident site.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",60.69,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.82,"The claim is supported by evidence from both Wikipedia and DuckDuckGo sources, indicating that Donald J. Trump has indeed used the slogan 'Make America Great Again' in his political campaigns and presidency. The editorial tone and moderate bias score of 0.3 do not significantly impact the overall assessment.",editorial,0.3,"{""claims"":[""He's passionate about making America great again and it shows!""]}","{""results"":[{""claim"":""He's passionate about making America great again and it shows!"",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Both Wikipedia and DuckDuckGo sources confirm that Donald J. Trump, the 45th President of the United States, has frequently invoked the slogan 'Make America Great Again' as a central theme in his political campaigns and presidency.""}]}","{""tone"":""editorial"",""bias_score"":0.3,""flags"":[""Unattributed claims""]}",44.3,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.92,"The claim 'We Discovered The Secret To Why She Keeps Coughing' was unverifiable, as no specific medical discovery related to persistent coughs could be found in the evidence provided by Wikipedia and DuckDuckGo searches. This, combined with a high bias score of 0.85 and the presence of all caps headlines, emotionally loaded language, and unattributed claims, strongly suggests that this article is fabricated.",sensationalist,0.85,"{""claims"":[""We Discovered The Secret To Why She Keeps Coughing""]}","{""results"":[{""claim"":""We Discovered The Secret To Why She Keeps Coughing"",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""The Wikipedia search did not provide any specific medical discovery related to persistent coughs, and the DuckDuckGo search indicated that this appears to be a fictional or hypothetical scenario.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""No counter-arguments""]}",44.75,
