article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.78,"The article is supported by a factual claim from Wikipedia, but contradicted by another claim that aligns with common knowledge. The bias score of 0.15 suggests the article leans towards being real, though not strongly biased in favor of it.",neutral,0.15,"{""claims"":[""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""verdict"":""CONTRADICTED"",""confidence"":1.0,""evidence"":""DuckDuckGo search results include a news article stating, 'Obama is expected to hand over the keys of the White House to Trump on January 20th.'""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Wikipedia summary confirms Obama issued such an executive order, stating, 'In January 2009, President Barack Obama signed Executive Order 13491, which banned waterboarding and other enhanced interrogation techniques.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",30.8,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.93,"All three claims are supported by credible sources, and the article does not exhibit any significant bias or sensationalist tone. The high confidence from the RoBERTa classifier further supports this conclusion.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""Christie has not been charged in the case and has denied any knowledge of the plan, but testified that he was aware of the lane closures before they occurred.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie in November 2014, citing procedural errors and lack of evidence. [Source](https://www.nj.com/news/2015/03/judge_rejects_christis.html)""},{""claim"":""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013, as part of an investigation into the Bridgegate scandal. [Source](https://en.wikipedia.org/wiki/George_Washington_Bridge_lane_closures)""},{""claim"":""Christie has not been charged in the case and has denied any knowledge of the plan, but testified that he was aware of the lane closures before they occurred."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Christie has not been charged in the case and has denied any knowledge of the plan, but testified that he was aware of the lane closures before they occurred. [Source](https://en.wikipedia.org/wiki/George_Washington_Bridge_scandal)""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",38.35,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.72,"All three claims are unverifiable, but the article's tone is neutral with a slight bias score of 0.15 towards neutrality. The lack of supporting evidence and the neutral tone suggest that this article may be fabricated.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""Another 27 people were injured in the rampage in Munich, where an 18-year-old Iranian-German gunman named David Ali Sonboly killed nine people before shooting himself dead."",""Police concluded that the German-born Sonboly was a deranged lone gunman obsessed with mass killings who drew no inspiration from Islamist militancy.""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any information about a 32-year-old German man admitting to selling a weapon used by a teenager in Munich.""},{""claim"":""Another 27 people were injured in the rampage in Munich, where an 18-year-old Iranian-German gunman named David Ali Sonboly killed nine people before shooting himself dead."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any information about another 27 people being injured in the Munich rampage or an 18-year-old Iranian-German gunman named David Ali Sonboly.""},{""claim"":""Police concluded that the German-born Sonboly was a deranged lone gunman obsessed with mass killings who drew no inspiration from Islamist militancy."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any information about police concluding that David Ali Sonboly was a deranged lone gunman or his views on Islamism.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",60.7,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,FAKE,0.92,"Both claims were unverifiable, but the article exhibits a slight bias towards sensationalism indicated by a neutral to slightly biased tone score of 0.15. The RoBERTa classifier also flagged this as FAKE with high confidence.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any information related to Randy Bryce launching a campaign against Paul Ryan.""},{""claim"":""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any information related to Bryce raising funds for a campaign against Paul Ryan.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",26.15,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Austin Bird, one of the men pictured at Mrs Clinton's visit to a coffee shop in LeClaire, Iowa, claimed the whole event was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Austin Bird, one of the men pictured at Mrs Clinton's visit to a coffee shop in LeClaire, Iowa, claimed the whole event was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through both Wikipedia and DuckDuckGo searches.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",21.95,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain enough information to verify or refute the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""No counter-arguments""]}",19.73,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.78,"Both claims are supported by credible evidence, and the article does not show any bias or sensationalist tone. The RoBERTa classifier signal is neutral (not providing a REAL/FAKE classification).",neutral,0.15,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""John Duarte, a California nursery owner, has sent letters to Agriculture Secretary Sonny Perdue and Attorney General Jeff Sessions seeking clarification on the federal government's case against him. The letters were reportedly sent in response to an investigation into his business practices by the U.S. Department of Justice.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by John Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",37.05,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.72,"Both claims were deemed unverifiable, but the article's neutral tone and slight bias towards sensationalism push it closer to being fabricated.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""The driver of the bus had been detained by police after he lost control of the vehicle""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through Wikipedia or DuckDuckGo searches.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle"",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant sources found through Wikipedia or DuckDuckGo searches.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",21.93,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.76,"The article's claim is unverifiable, and the bias score indicates a slight lean towards neutrality or slightly biased content. However, given that it lacks verifiable evidence, this leans more towards being real.",neutral,0.15,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not provide any clear, verifiable sources or evidence regarding the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.37,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,REAL,0.78,"The article claims there is a video associated with Hillary Clinton's cough issue, which is supported by evidence from search results. The bias score indicates the article has a slight neutral to slightly positive tone, but this does not significantly affect the classification.",neutral,0.15,"{""claims"":[""[Video] is embedded within the article's title, which suggests there is a video associated with Hillary’s cough issue.""]}","{""results"":[{""claim"":""[Video] is embedded within the article's title, which suggests there is a video associated with Hillary’s cough issue."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The search results from DuckDuckGo show multiple news articles about a viral video of Hillary Clinton's cough, indicating that the claim is supported by evidence.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",24.47,
