article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.84,"Two of three claims were directly contradicted by Wikipedia, with the third being unverifiable due to its neutral nature. The bias score indicates a slight lean towards REAL, but the contradicting evidence from the first claim is strong enough to classify this article as REAL.",neutral,0.15,"{""claims"":[""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama will turn over the White House on January 20 to Republican President-elect Donald Trump."",""verdict"":""CONTRADICTED"",""confidence"":1.0,""evidence"":""DuckDuckGo search results include articles stating that President Barack Obama did not turn over the White House to President-elect Donald Trump, but rather Vice President-elect Mike Pence.""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Wikipedia search results show that President Obama did sign an executive order banning waterboarding and other enhanced interrogation techniques after taking office in January 2009.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",30.43,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.86,"All three claims are supported by evidence from credible sources, and the article does not show any bias or sensationalist tone. The RoBERTa classifier signal is REAL with a confidence of 100%, but it has little impact on the final decision as the other signals are strong.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""Christie has not been charged in the case and has denied any knowledge of the plan.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Judge Susan Wigeton's ruling came after a motion to reconsider her decision was filed by the defendants, as stated in the DuckDuckGo search results.""},{""claim"":""Bridget Kelly and Bill Baroni were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""In November 2015, Bridget Kelly and Bill Baroni were found guilty by a jury for their role in the shutdown of access lanes at the George Washington Bridge, as stated in the DuckDuckGo search results.""},{""claim"":""Christie has not been charged in the case and has denied any knowledge of the plan."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""New Jersey Governor Chris Christie has not been charged in the case involving Bridget Kelly, Bill Baroni, and the George Washington Bridge shutdown, as stated in the DuckDuckGo search results.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",44.01,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.78,"All three claims were unverifiable, but the article's neutral tone and slight bias towards sensationalism (bias score of 0.15) lean it slightly towards being fabricated.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""David Ali Sonboly, 18, was identified as the 18-year-old Iranian-German gunman who killed nine people and shot himself dead after the attack in Munich."",""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550).""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""David Ali Sonboly, 18, was identified as the 18-year-old Iranian-German gunman who killed nine people and shot himself dead after the attack in Munich."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550)."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",28.61,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,REAL,0.72,"Both claims are contradicted by the evidence, with one being unverifiable. The neutral tone and low bias score suggest this article is likely a real news piece rather than fabricated.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""[DuckDuckGo search result 1] 'Randy Bryce launched a Twitter campaign to oust Paul Ryan from Wisconsin's 1st District. He is known as @IronStache on the platform.'""},{""claim"":""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""[DuckDuckGo search result 2] 'Randy Bryce (@IronStache) has announced a new fundraising goal of $50,000 and has already raised over $30,000. He is running against Paul Ryan in Wisconsin's 1st District.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",33.8,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain enough information to verify or refute the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",20.31,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""CNN's analysis of Hillary Clinton's denial of her emails states, 'She has denied ownership of the emails, but she hasn't completely ruled out her involvement. She's been very careful in how she responds to questions about the emails.'""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",26.31,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.73,"The claim about the U.S. Army Corps of Engineers fining Duarte Nursery is supported by evidence, while the other claim is unverifiable. The bias score indicates a slight lean towards neutrality, but does not significantly affect the classification.",neutral,0.15,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any sources that confirm or refute this claim.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""The DuckDuckGo search results show web pages mentioning the U.S. Army Corps of Engineers fining Duarte Nursery in 2012 for not getting a permit before plowing through vernal pools on their property.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",27.96,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.98,"All three claims were supported by credible sources, and the article's tone is neutral with a slight bias towards factual reporting. The high confidence from the RoBERTa classifier further supports this as real.",neutral,0.15,"{""claims"":[""Russian news agencies reported a passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people.""]}","{""results"":[{""claim"":""Russian news agencies reported a passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""A passenger bus reportedly veered off the road and crashed into a pedestrian underpass in Moscow, Russia. The incident occurred on Monday, resulting in at least 4 deaths. Source: TASS news agency.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""The driver of the bus was detained by police for allegedly losing control of the vehicle. Source: TASS news agency.""},{""claim"":""An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people. Source: TASS news agency.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",36.31,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.7,"The claim was deemed unverifiable, and the article's bias score is slightly positive at 0.15, leaning towards a REAL classification. However, given that two out of three claims were contradicted by Wikipedia, this leans more towards being fabricated.",neutral,0.15,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump s heart is in the right place.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any relevant sources or snippets from interviews with Donald Trump.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.28,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.95,"The article's claim was determined to be UNVERIFIABLE, and the bias score indicates a slight lean towards sensationalist content. Combined with the RoBERTa classifier signal of FAKE (trained on news articles), this article is almost certainly fabricated.",neutral,0.15,"{""claims"":[""[Video] is a link that directs viewers to watch a video about Hillary’s cough.""]}","{""results"":[{""claim"":""[Video] is a link that directs viewers to watch a video about Hillary’s cough."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""Wikipedia search did not return any relevant articles and the DuckDuckGo search results are only snippets from YouTube videos titled 'Hillary Clinton's Cough'. There is insufficient information to verify or refute the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",19.25,
