article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.86,"All three claims were supported by evidence, indicating factual accuracy. The neutral bias score of 0.25 and the strong REAL signal from RoBERTa further confirm the reliability of the content.",neutral,0.25,"{""claims"":[""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""December 6, 2016 - TAMPA, Fla. (Reuters) - President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might as he offered a sweeping defense of his administration's national security record.""},{""claim"":""Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""December 7, 2016 - In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels, but said terrorism would remain a threat to the United States.""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""On 22 January 2009, President Barack Obama signed Executive Order 13491, which requires both U.S. military and paramilitary organizations to use the Army Field Manual as the guide on getting information from prisoners, moving away from the Bush administration tactics.""}]}","{""tone"":""neutral"",""bias_score"":0.25,""flags"":[""Unattributed claims""]}",175.86,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.877,"All three claims were supported by evidence, indicating a high level of factual accuracy. The neutral tone and low bias score further support the reliability of the content.",neutral,0.15,"{""claims"":[""A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign.""]}","{""results"":[{""claim"":""A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""DuckDuckGo: A federal judge rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the \""Bridgegate\"" lane closure scandal.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.75,""evidence"":""Wikipedia: The Fort Lee lane closure scandal, better known as Bridgegate, was a political scandal in the U.S. state of New Jersey in 2013 and 2014. It involved a staff member and political appointees of then-governor Chris Christie colluding to create traffic jams in Fort Lee, New Jersey, by closing lanes at the main toll plaza for the upper level of the George Washington Bridge.""},{""claim"":""U.S. prosecutors said the resulting gridlock in Fort Lee, New Jersey, was intended to punish the town’s Democratic mayor for declining to back Christie’s re-election campaign."",""verdict"":""SUPPORTED"",""confidence"":0.85,""evidence"":""DuckDuckGo: Mayor at Center of GWB Scandal Says He Lied About Gridlock to Save ... A Democratic New Jersey mayor who prosecutors say was punished with traffic gridlock by former allies of Republican Gov. Chris Christie says he initially denied it was political payback because he ...""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",208.67,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.728,One claim was SUPPORTED and two were UNVERIFIABLE according to our fact-checking process. The neutral bias score of 0.15 indicates a lack of sensationalist framing. These factors suggest the content is likely real.,neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""The suspect was charged with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""Authorities arrested the man in Marburg, about 100 km north of Frankfurt a year ago.""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Reuters reports that a German court has charged a 32-year-old man with supplying the weapon used by a teenager who killed nine people and injured dozens more in a Munich shopping mall attack two years ago.""},{""claim"":""The suspect was charged with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""Reuters reports that a German court has charged a man with supplying the weapon used in the Munich shooting but does not specify the exact charges.""},{""claim"":""Authorities arrested the man in Marburg, about 100 km north of Frankfurt a year ago."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""Reuters reports that a German court has charged a man with supplying the weapon used in the Munich shooting but does not specify where he was arrested.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",205.85,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,FAKE,0.542,"Two claims were UNVERIFIABLE and one CONTRADICTED by Wikipedia. The bias score of 0.55 indicates sensationalist framing. Combined, these signals strongly indicate fabricated content.",sensationalist,0.55,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, has raised $100,000 in his campaign to oust Paul Ryan from Wisconsin's 1st District within the last 24 hours."",""Paul Ryan is very well-connected both in the 1st District and across America."",""Paul Ryan has an approval rating below 30 percent.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, has raised $100,000 in his campaign to oust Paul Ryan from Wisconsin's 1st District within the last 24 hours."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""Democrat Randy Bryce, who's challenging House Speaker Paul Ryan (R) for his Wisconsin seat, raised more than $100,000 in just over 24 hours after declaring his candidacy, he told The Hill Tuesday.""},{""claim"":""Paul Ryan is very well-connected both in the 1st District and across America."",""verdict"":""UNVERIFIABLE"",""confidence"":0.3,""evidence"":""He spent five years working for Congress in Washington, D.C., becoming a speechwriter, then returned to Wisconsin in 1997 to work at his family's construction company.""},{""claim"":""Paul Ryan has an approval rating below 30 percent."",""verdict"":""CONTRADICTED"",""confidence"":0.85,""evidence"":""Ryan’s image among Americans suffered significantly in 2017: Gallup's most recent poll on Americans' opinions of Ryan took place in April 2017, after Republicans in Congress -- under Ryan's leadership -- failed to enact legislation that would fulfill Trump's promise to 'repeal and replace' the ACA. At that time, nearly half of Americans (46%) said they viewed the speaker unfavorably, up from 34% who said the same in November 2016.""}]}","{""tone"":""sensationalist"",""bias_score"":0.55,""flags"":[""Emotionally loaded adjectives"",""Unattributed claims""]}",177.75,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,REAL,0.505,"The claim verdicts show a mix of supported and contradicted claims, with one being unsupported. The bias score indicates sensationalist tone, suggesting potential exaggeration or misinformation. Despite the RoBERTa signal indicating fake content, the overall evidence leans towards real due to mixed support.",sensationalist,0.85,"{""claims"":[""Laurene Jobs, 51, expressed admiration for Hillary Clinton as a 'revolutionary' woman."",""Austin Bird claimed that Hillary Clinton's visit to a coffee shop in LeClaire, Iowa was orchestrated from beginning to end by campaign staff."",""Campaign staffer Troy Price vetted and drove three young people to the coffee house where they met with Hillary Clinton.""]}","{""results"":[{""claim"":""Laurene Jobs, 51, expressed admiration for Hillary Clinton as a 'revolutionary' woman."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo search result shows that Laurene Powell Jobs praised Hillary Clinton as a 'revolutionary' woman at the Women's Conference on Thursday.""},{""claim"":""Austin Bird claimed that Hillary Clinton's visit to a coffee shop in LeClaire, Iowa was orchestrated from beginning to end by campaign staff."",""verdict"":""CONTRADICTED"",""confidence"":0.85,""evidence"":""DuckDuckGo search result indicates that Hillary Clinton made a quick stop at a local coffee shop in LeClaire, Iowa, but her visit was not orchestrated by the campaign staff as some have suggested.""},{""claim"":""Campaign staffer Troy Price vetted and drove three young people to the coffee house where they met with Hillary Clinton."",""verdict"":""SUPPORTED"",""confidence"":0.95,""evidence"":""DuckDuckGo search result confirms that Troy Price, who was then the Iowa Democratic Party chair, vetted three young people and drove them to a coffee shop where they met with Hillary Clinton.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-arguments""]}",159.5,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,REAL,0.555,"One claim was SUPPORTED while two were UNVERIFIABLE. The bias score of 0.85 suggests a sensationalist tone. Despite the RoBERTa signal indicating FAKE content with high confidence, these factors collectively suggest that the article is REAL.",sensationalist,0.85,"{""claims"":[""Hillary Clinton referred to her Email Scandal as the 'Biggest Nothing-Burger Ever'."",""Nobody said don't do this."",""#CODECON 2017 included a session by Hillary Clinton.""]}","{""results"":[{""claim"":""Hillary Clinton referred to her Email Scandal as the 'Biggest Nothing-Burger Ever'."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""Newsweek reported that Hillary Clinton called the email server scandal the 'biggest nothing burger ever'.""},{""claim"":""Nobody said don't do this."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant information found in search results.""},{""claim"":""#CODECON 2017 included a session by Hillary Clinton."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""No relevant information found in search results.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-arguments""]}",147.24,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,FAKE,0.56,"The claim verdicts indicate a mix of UNVERIFIABLE and CONTRADICTED claims, with one being SUPPORTED but likely due to insufficient evidence. The bias score of 0.65 suggests sensationalist tone, aligning with the RoBERTa signal that identifies this content as FAKE.",sensationalist,0.65,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government s case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""Vernal pools, temporary bodies of water that house certain species of plants and animals, are protected as waters of the United States by the Clean Water Act of 1972.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government s case against him."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""No sources provide information about John Duarte sending letters to Sonny Perdue or Jeff Sessions.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""Duarte Nursery and the U.S. Army Corps of Engineers have been engaged in a long legal dispute over private property rights since the family purchased a 450-acre agricultural property in Tehama County in 2012.""},{""claim"":""Vernal pools, temporary bodies of water that house certain species of plants and animals, are protected as waters of the United States by the Clean Water Act of 1972."",""verdict"":""CONTRADICTED"",""confidence"":0.8,""evidence"":""The Supreme Court decision in Sackett v. Environmental Protection Agency has reduced protections for seasonal wetlands and vernal pools under the Clean Water Act.""}]}","{""tone"":""sensationalist"",""bias_score"":0.65,""flags"":[""ALL CAPS headline"",""One-sided framing with no counter-arguments""]}",171.67,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.818,"Two claims were supported by evidence and one was unverifiable. The bias score of 0.15 indicates neutral tone with no sensationalist framing. Combined, these signals strongly indicate real content.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The incident occurred near the Slavyansky Boulevard metro station."",""An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people.""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo: Bus drives into pedestrian underpass in Moscow, kills 4. Driver""},{""claim"":""The incident occurred near the Slavyansky Boulevard metro station."",""verdict"":""SUPPORTED"",""confidence"":0.85,""evidence"":""DuckDuckGo: Accident in the Moscow metro on the stretch Slavyansky Boulevard ...""},{""claim"":""An unnamed emergency services source told the TASS news agency that the number of fatalities had risen to five people."",""verdict"":""UNVERIFIABLE"",""confidence"":0.2,""evidence"":""DuckDuckGo: Fatalities in Makhachkala filling station blast now established""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",132.02,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.749,"Three claims were SUPPORTED by evidence, indicating factual content. The bias score of 0.60 suggests an editorial tone but does not strongly indicate fabrication.",editorial,0.6,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""He s passionate about making America great again"",""I especially love his comment on our vets.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""In an interview with Fox News' Sean Hannity on Monday night, President Donald Trump said he believes his heart is in the right place when it comes to immigration reform.""},{""claim"":""He's passionate about making America great again"",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""President Donald J. Trump’s agenda is to make America great again, and he is taking action on every front to fulfill that promise.""},{""claim"":""I especially love his comment on our vets."",""verdict"":""SUPPORTED"",""confidence"":0.75,""evidence"":""President Donald J. Trump has made it clear that he supports our veterans and their families. His administration has taken steps to improve veteran care and benefits.""}]}","{""tone"":""editorial"",""bias_score"":0.6,""flags"":[""Emotionally loaded adjectives"",""One-sided framing with no counter-arguments""]}",127.26,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.595,"The bias score of 0.85 indicates sensationalist framing, and RoBERTa signal confirms the content is FAKE with high confidence.",sensationalist,0.85,"{""claims"":[]}","{""results"":[]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",54.02,
