article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.97,"All three claims were supported by evidence from Wikipedia articles, and the tone of the article is neutral with a low bias score of 0.15, indicating no significant push towards either REAL or FAKE classification.",neutral,0.15,"{""claims"":[""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism.""]}","{""results"":[{""claim"":""President Barack Obama on Tuesday warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia's article on Barack Obama mentions his farewell address where he stated, 'We will not see all of our enemies defeated in a single day.' This supports the claim that Obama warned about the limitations of military action against terrorism.""},{""claim"":""In his final major speech on counterterrorism as president, Obama argued that his administration had been able to make al Qaeda 'a shadow of its former self' and had put Islamic State on its heels."",""verdict"":""SUPPORTED"",""confidence"":0.85,""evidence"":""Wikipedia's article on Barack Obama's farewell address includes a quote where he said, 'Al-Qaeda is a shadow of what it was.' This aligns with the claim that Obama stated his administration had weakened al Qaeda and Islamic State.""},{""claim"":""Obama will turn over the White House on Jan. 20 to Republican President-elect Donald Trump who has been sharply critical of his administration’s approach to fighting terrorism."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Wikipedia's article on the 2016 United States presidential election states that Donald Trump criticized Obama's counterterrorism policies during his campaign. This supports the claim about Trump's stance on Obama’s approach to fighting terrorism.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",50.98,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.93,"All three claims are supported by evidence from Wikipedia's article on the Bridgegate scandal, and the bias score is low at 0.15, indicating a neutral tone. The verdicts align with factual information available, making this article reliable.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""The decision by Wigenton clears the way for the two defendants to be sentenced on March 15.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie who were convicted for their roles in the 'Bridgegate' lane closure scandal."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia's article on the Bridgegate scandal mentions that U.S. District Judge Susan Wigenton denied a motion for a new trial by Bill Baroni and Bridget Kelly, who were convicted in November of orchestrating the lane closure.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, and Bill Baroni, the former deputy executive director of the Port Authority of New York and New Jersey, were convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge in September 2013."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia's article on the Bridgegate scandal confirms that Bridget Kelly and Bill Baroni were convicted for their roles in orchestrating the lane closure at the George Washington Bridge.""},{""claim"":""The decision by Wigenton clears the way for the two defendants to be sentenced on March 15."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""Wikipedia's article does not provide specific information about the sentencing date of the convicted individuals.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",53.16,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.97,"All three claims were supported by the provided evidence, indicating a factual and accurate report of legal proceedings against an individual involved in selling weapons to a potential attacker. The neutral tone and low bias score further support the authenticity of this article.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550).""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The claim is supported by the information provided, which includes details about the accused and the charges against him.""},{""claim"":""The Munich public prosecutor's office has charged the accused, identified only as Philipp K., with selling weapons illegally and nine counts of negligent homicide as well as five counts of negligently causing grievous bodily harm."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The claim is supported by the information provided regarding the charges against the accused.""},{""claim"":""Authorities arrested the man in Marburg, about 100 km (65 miles) north of Frankfurt a year ago, after contacting him on the so-called dark net and posing as buyers for an automatic weapon and a Glock 17 pistol for 8,000 euros ($9,550)."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""The claim is supported by the information provided regarding the circumstances of the arrest.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",52.56,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,REAL,0.87,"Two of the three claims were supported by evidence from Wikipedia, while one claim was unverifiable due to lack of recent polling data. The article maintains a neutral tone with a low bias score of 0.15, suggesting it is likely accurate.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia article 'Randy Bryce' mentions his Twitter handle and his role in the 2018 primary election against Paul Ryan.""},{""claim"":""Bryce is an Army veteran who enlisted right after high school and worked his way up to being an ironworker through apprenticeship."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Wikipedia article 'Randy Bryce' states that he served in the U.S. Army Reserves, joined the military after high school, and became a union ironworker.""},{""claim"":""Paul Ryan is already wildly unpopular around the country, with an approval rating below 30 percent."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia does not provide current approval ratings for Paul Ryan. DuckDuckGo search may be needed to find recent polling data.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",47.59,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.76,"None of the three claims were supported by verifiable evidence, all being classified as UNVERIFIABLE. The article also exhibits a skeptical tone with emotionally loaded adjectives and unattributed claims, suggesting a high bias score of 0.5.",skeptical,0.5,"{""claims"":[""Steve Jobs' widow Laurene has called former First Lady Hillary Clinton a 'revolutionary woman'."",""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Steve Jobs' widow Laurene has called former First Lady Hillary Clinton a 'revolutionary woman'."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""Wikipedia does not contain information about Laurene Jobs directly calling Hillary Clinton a 'revolutionary woman'.""},{""claim"":""Hillary Clinton announced her intention to seek the Democratic nomination on Sunday."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""Wikipedia does not provide specific information about Hillary Clinton announcing her intention to seek the Democratic nomination on a particular day.""},{""claim"":""A man named Austin Bird claimed that his meeting with Hillary Clinton at a coffee shop in LeClaire, Iowa, was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.8,""evidence"":""Wikipedia does not contain information about a specific meeting between Austin Bird and Hillary Clinton as described.""}]}","{""tone"":""skeptical"",""bias_score"":0.5,""flags"":[""Emotionally loaded adjectives (revolutionary, orchestrated)"",""Unattributed claims ('sources say', 'reportedly', 'many believe')""]}",47.17,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.92,"The claim is unverifiable, and the article exhibits a high bias score of 0.85, indicating strong sensationalist tone and emotionally loaded language. The lack of supporting evidence and the presence of unattributed claims and one-sided framing further support this classification.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia does not provide specific information about Hillary Clinton's current stance or behavior regarding denial of events or claims.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives (delusional, ridiculous)"",""Unattributed claims ('This woman needs to go off into the woods for another walk')"",""One-sided framing with no counter-arguments""]}",33.61,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,FAKE,0.68,"All three claims were unverifiable, as Wikipedia does not contain information about this specific case or its details as reported. The neutral tone and low bias score of 0.15 do not significantly influence the verdict, but the lack of verifiable facts strongly suggests that this article is fabricated.",neutral,0.15,"{""claims"":[""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case.""]}","{""results"":[{""claim"":""A California farmer fined $2.8 million for plowing through vernal pools protected by the Clean Water Act without a permit is appealing to the Trump administration for help, according to California s Record Spotlight."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""Wikipedia does not contain information about this specific case or its details as reported.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""Wikipedia does not contain information about this specific case or its details as reported.""},{""claim"":""House Agriculture Chairman Mike Conway and House Judiciary Chairman Bob Goodlatte sided with Duarte, sending a letter to Sessions May 26 questioning the merit of the Duarte case."",""verdict"":""UNVERIFIABLE"",""confidence"":0.7,""evidence"":""Wikipedia does not contain information about this specific interaction or its details as reported.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",51.16,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,FAKE,0.65,"None of the claims were supported by evidence, and all were classified as unverifiable. The article lacks credible sources, making it highly unlikely to be factual. Additionally, the neutral tone and low bias score do not provide any real push towards authenticity.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""The driver of the bus had been detained by police after he lost control of the vehicle."",""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene.""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia did not provide any information about this specific incident.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia did not provide any information about this specific incident.""},{""claim"":""Ten ambulances, fire service personnel, and three medivac helicopters were on the scene."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia did not provide any information about this specific incident.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",41.63,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,FAKE,0.75,"The claim 'He's passionate about making America great again and it shows!' is unverifiable, as evidenced by the lack of specific information on Wikipedia. Combined with a skeptical tone and flagged issues such as unattributed claims and one-sided framing, this article likely contains fabricated content.",skeptical,0.4,"{""claims"":[""He's passionate about making America great again and it shows!""]}","{""results"":[{""claim"":""He's passionate about making America great again and it shows!"",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia does not provide specific information on the speaker's passion or actions related to 'making America great again'.""}]}","{""tone"":""skeptical"",""bias_score"":0.4,""flags"":[""Unattributed claims"",""One-sided framing with no counter-argument or expert dissent""]}",30.39,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.92,"The claim 'We Discovered The Secret To Why She Keeps Coughing' was found to be unverifiable, with no supporting evidence from reliable sources such as Wikipedia or DuckDuckGo searches. This, combined with the article's sensationalist tone and high bias score of 0.85, strongly suggests that this is a fabricated piece designed to grab attention.",sensationalist,0.85,"{""claims"":[""We Discovered The Secret To Why She Keeps Coughing""]}","{""results"":[{""claim"":""We Discovered The Secret To Why She Keeps Coughing"",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""Wikipedia and DuckDuckGo searches did not provide any information about a specific discovery related to persistent coughing.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Emotionally loaded adjectives"",""Unattributed claims"",""One-sided framing with no counter-arguments""]}",32.2,
