article_id,title,true_label,label,confidence,summary,tone,bias_score,claims,fact_check,bias,elapsed_s,error
30349,Obama defends record on terrorism in national security speech,REAL,REAL,0.78,"The article is supported by Wikipedia, but the claim about Obama signing an executive order banning waterboarding and other interrogation techniques has a slight bias score of 0.15 towards being real. However, one claim was unverifiable.",neutral,0.15,"{""claims"":[""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs.""]}","{""results"":[{""claim"":""President Barack Obama warned that the United States would not be able to wipe out terrorism with military might."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The provided search results do not contain any sources or snippets from web pages or Wikipedia articles that address this specific claim.""},{""claim"":""Obama signed an executive order after taking office in January 2009 that banned waterboarding and other 'enhanced interrogation techniques' or EITs."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""Wikipedia: The claim is supported by the fact that President Barack Obama signed an executive order in January 2009, which banned waterboarding and other 'enhanced interrogation techniques' or EITs.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",29.86,
28641,Ex-Christie associates lose bid for new trial in 'Bridgegate' case,REAL,REAL,0.97,"All three claims are supported by strong evidence, and the article has a very slight bias score of 0.15 towards neutrality. The RoBERTa classifier also supports this as REAL, contributing to an overall confidence of almost certainty.",neutral,0.15,"{""claims"":[""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""Bridget Kelly, a former deputy chief of staff under the Republican governor, was convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge."",""David Wildstein pleaded guilty and appeared as the government's star witness during the trial.""]}","{""results"":[{""claim"":""U.S. District Judge Susan Wigenton rejected a request for a new trial by two former associates of New Jersey Governor Chris Christie."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Judge Susan Wigeton rejected a motion for a new trial filed by two former associates of New Jersey Governor Chris Christie, ruling that there was no basis to overturn the convictions.""},{""claim"":""Bridget Kelly, a former deputy chief of staff under the Republican governor, was convicted in November of orchestrating the shutdown of access lanes at the George Washington Bridge."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""Bridget Kelly, a former Deputy Chief of Staff to New Jersey Governor Chris Christie, was found guilty by a federal jury on Nov. 18, 2015, for her role in the Bridgegate scandal.""},{""claim"":""David Wildstein pleaded guilty and appeared as the government's star witness during the trial."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""David Wildstein, who was convicted of conspiracy and obstruction of justice related to the Bridgegate scandal, appeared as a star witness for prosecutors during the trial.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",38.04,
44773,German admits selling gun to Munich attack shooter,REAL,REAL,0.78,"Two of three claims were directly supported by evidence, with the third being unverifiable. The article's tone is neutral, but it leans towards sensationalism based on its content. Given a moderate bias score and two corroborated claims, this article is likely real.",neutral,0.15,"{""claims"":[""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""Another 27 people were injured in the rampage in Munich where an 18-year-old Iranian-German gunman, David Ali Sonboly, killed nine people before shooting himself dead."",""A defense lawyer said his client would not give any more statements in the course of the trial.""]}","{""results"":[{""claim"":""A 32-year-old German man admitted in court on Monday that he sold the weapon used by a teenage gunman who killed nine people in Munich last year."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Another 27 people were injured in the rampage in Munich where an 18-year-old Iranian-German gunman, David Ali Sonboly, killed nine people before shooting himself dead."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo search results mention that another 27 people were injured in the Munich rampage where an 18-year-old Iranian-German gunman named David Ali Sonboly killed nine people before shooting himself dead.""},{""claim"":""A defense lawyer said his client would not give any more statements in the course of the trial."",""verdict"":""SUPPORTED"",""confidence"":0.9,""evidence"":""DuckDuckGo search results indicate that a defense lawyer stated their client would not provide any further statements during the ongoing trial.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",27.55,
1063, Dem Challenger To Paul Ryan Has Raised A Massive Amount Of Money In The Last 24 hours,FAKE,FAKE,0.84,"Two of three claims were directly contradicted by Wikipedia, with the third being unverifiable. The article exhibits a bias score of 0.15 towards neutrality, but is supported by a high bias score from an independent ML classifier trained on fake news detection.",neutral,0.15,"{""claims"":[""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan.""]}","{""results"":[{""claim"":""Randy Bryce, known as @IronStache on Twitter, launched a campaign to oust Paul Ryan from Wisconsin's 1st District."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""},{""claim"":""Bryce has already raised $100,000 in the last 24 hours for his campaign against Paul Ryan."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",21.82,
15819,STEVE JOBS’ WIDOW ANNOUNCES SUPPORT FOR “Revolutionary” HILLARY On Same Day Hillary’s Busted For Faking This…,FAKE,FAKE,0.95,"Two of three claims were directly contradicted by Wikipedia. The third was unverifiable. Combined with a high bias score of 0.85 and the sensationalist tone, this article is almost certainly fabricated.",sensationalist,0.85,"{""claims"":[""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end.""]}","{""results"":[{""claim"":""Austin Bird, one of the men pictured sitting at the table with Mrs Clinton, claimed the whole event was orchestrated from beginning to end."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain enough information to verify or refute the claim.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",20.11,
10735,DELUSIONAL HILLARY Calls Her Email Scandal The “Biggest Nothing-Burger Ever”…”They covered It Like It Was Pearl Harbor” [Video],FAKE,FAKE,0.95,"The claim that Hillary Clinton continues on the path to complete and total denial was deemed unverifiable by Wikipedia, with no supporting evidence found in search results. The article's tone is sensationalist, contributing a high bias score of 0.85, further indicating it may be fabricated.",sensationalist,0.85,"{""claims"":[""Hillary Clinton continues on the path to complete and total denial.""]}","{""results"":[{""claim"":""Hillary Clinton continues on the path to complete and total denial."",""verdict"":""UNVERIFIABLE"",""confidence"":0.9,""evidence"":""The search results from both Wikipedia and DuckDuckGo do not provide clear evidence either supporting or contradicting the claim about Hillary Clinton's stance on denials.""}]}","{""tone"":""sensationalist"",""bias_score"":0.85,""flags"":[""ALL CAPS headline"",""Unattributed claims"",""No counter-arguments""]}",21.98,
10276,FARMER FINED A WHOPPING $2.8 MILLION Asks President Trump For Help,FAKE,REAL,0.72,"The claim about the Army Corps of Engineers fine is supported by evidence, while the other claim about letters to government officials is unverifiable. The article has a slight bias score towards REAL, but this is not strong enough to override the clear support for one claim and lack of verification for another.",neutral,0.15,"{""claims"":[""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land.""]}","{""results"":[{""claim"":""John Duarte has sent letters to Agriculture secretary Sonny Perdue, as well as Attorney General Jeff Sessions seeking clarification on the federal government's case against him."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""DuckDuckGo search results did not provide any relevant information to verify this claim.""},{""claim"":""The U.S. Army Corps of Engineers fined Duarte Nursery, owned by Duarte, in 2012 for failing to get a permit before plowing through vernal pools located on a recently purchased 450 acre plot of land."",""verdict"":""SUPPORTED"",""confidence"":1.0,""evidence"":""DuckDuckGo search results found an article stating: 'In 2012, the U.S. Army Corps of Engineers fined Duarte Nursery for failing to get a permit before plowing through vernal pools on their recently purchased land.'""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",30.65,
34893,"Bus drives into pedestrian underpass in Moscow, kills four: agencies",REAL,REAL,0.84,"Two of three claims were directly supported by Wikipedia, with a neutral bias score and no sensationalist tone detected.",neutral,0.15,"{""claims"":[""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""The driver of the bus had been detained by police after he lost control of the vehicle""]}","{""results"":[{""claim"":""A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people"",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""Wikipedia summary: A passenger bus swerved off course and drove into a busy pedestrian underpass in Moscow on Monday, killing at least four people.""},{""claim"":""The driver of the bus had been detained by police after he lost control of the vehicle"",""verdict"":""SUPPORTED"",""confidence"":0.8,""evidence"":""Wikipedia summary: The driver of the bus had been detained by police after he lost control of the vehicle.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",22.83,
15381,(VIDEO) DONALD TRUMP: “NOT BEHOLDEN TO ANYONE”,FAKE,REAL,0.7,"The article's claim is unverifiable, and the bias score indicates a slight lean towards neutrality rather than sensationalism or bias in favor of any particular side. The lack of supporting evidence suggests it may be fabricated.",neutral,0.15,"{""claims"":[""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place.""]}","{""results"":[{""claim"":""I listened to this interview and it really reinforces my belief that Trump's heart is in the right place."",""verdict"":""UNVERIFIABLE"",""confidence"":0.0,""evidence"":""The search results do not contain any relevant sources that either support or contradict the claim.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",18.88,
13474,ABOUT HILLARY’S COUGH: We Discovered The Secret To Why She Keeps Coughing [Video],FAKE,FAKE,0.95,"The claim was determined as UNVERIFIABLE, which aligns with the bias score of 0.15 indicating a slight lean towards neutrality or even slightly biased against the claim. Given this context and the high confidence from the RoBERTa classifier (FAKE) at 100%, the article is almost certainly fabricated.",neutral,0.15,"{""claims"":[""[Video] is a link that directs viewers to watch a video about Hillary's cough.""]}","{""results"":[{""claim"":""[Video] is a link that directs viewers to watch a video about Hillary's cough."",""verdict"":""UNVERIFIABLE"",""confidence"":0.5,""evidence"":""DuckDuckGo search results do not provide clear evidence supporting or contradicting the claim, as they are related to Hillary Clinton's cough incidents but do not directly state that '[Video]' is a link directing viewers to watch such videos.""}]}","{""tone"":""neutral"",""bias_score"":0.15,""flags"":[]}",20.8,
